GEOL 301, 31509.0, TR, 12:30 PM - 01:45 PM, 4.0, GEOL 301 - Sedimentology and Stratigraphy (T/R 12:30 PM - 01:45 PM)
GEOL 325, 31514.0, TR, 12:30 PM - 01:45 PM, 3.0, GEOL 325 - Near-Surface Geophysics (T/R 12:30 PM - 01:45 PM)
GEOL 340, 31515.0, MWF, 09:00 AM - 09:50 AM, 3.0, GEOL 340 - Glbl Climate Chnge Orig & Impa (M/W/F 09:00 AM - 09:50 AM)
GEOL 403, 31690.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 403 - Introduction to Soils (T/R 08:00 AM - 09:15 AM)
GEOL 403, 31691.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 403 - Introduction to Soils (T/R 08:00 AM - 09:15 AM)
GEOL 412, 31530.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 412 - Geographic Information Systems (T/R 11:00 AM - 12:15 PM)
GEOL 412, 31535.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 412 - Geographic Information Systems (T/R 11:00 AM - 12:15 PM)
GEOL 414, 31702.0, MWF, 10:00 AM - 10:50 AM, 3.0, GEOL 414 - Vadose Zone Hydrology (M/W/F 10:00 AM - 10:50 AM)
GEOL 414, 31703.0, MWF, 10:00 AM - 10:50 AM, 3.0, GEOL 414 - Vadose Zone Hydrology (M/W/F 10:00 AM - 10:50 AM)
GEOL 448, 31693.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 448 - General Geophysics (T/R 11:00 AM - 12:15 PM)
GEOL 460, 31694.0, MW, 11:00 AM - 11:50 AM, 3.0, GEOL 460 - Subsurface & Petroleum Geology (M/W 11:00 AM - 11:50 AM)
GEOL 480, 31697.0, MTWRF, 08:00 AM - 11:59 PM, 6.0, GEOL 480 - Field Methods in Earth Science (M/T/W/R/F 08:00 AM - 11:59 PM)
GEOL 489, 31567.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 489 - Special Topics in Engr Geology (T/R 09:30 AM - 10:45 AM)
GEOL 489, 31568.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 489 - Special Topics in Engr Geology (T/R 09:30 AM - 10:45 AM)
SPAN 1110, 25076.0, MWF, 09:00 AM - 09:50 AM, 3.0, SPAN 1110 - Spanish I (Fresh) (M/W/F 09:00 AM - 09:50 AM)
SPAN 1110, 25107.0, MWF, 09:00 AM - 09:50 AM, 3.0, SPAN 1110 - g:Spanish I (M/W/F 09:00 AM - 09:50 AM)
SPAN 2123, 26453.0, MWF, 12:00 PM - 12:50 PM, 3.0, SPAN 2123 - g:Conversational Spanish (M/W/F 12:00 PM - 12:50 PM)
